scenario,system,phase,version,metric,value
big-binary,cavs-fastcdc-256k,push,1,remote_growth_kb,205258
big-binary,cavs-fastcdc-256k,update,1,time_s,4.23
big-binary,cavs-fastcdc-256k,update,1,dl_total_kb,102400
big-binary,cavs-fastcdc-256k,push,2,time_s,2.29
big-binary,cavs-fastcdc-256k,push,2,remote_kb,219266
big-binary,cavs-fastcdc-256k,push,2,remote_growth_kb,14008
big-binary,cavs-fastcdc-256k,update,2,time_s,3.24
big-binary,cavs-fastcdc-256k,update,2,dl_total_kb,109251
big-binary,cavs-fastcdc-256k,push,3,time_s,2.31
big-binary,cavs-fastcdc-256k,push,3,remote_kb,234151
big-binary,cavs-fastcdc-256k,push,3,remote_growth_kb,14885
big-binary,cavs-fastcdc-256k,update,3,time_s,3.07
big-binary,cavs-fastcdc-256k,update,3,dl_total_kb,116537
big-binary,cavs-fastcdc-256k,push,4,time_s,2.45
big-binary,cavs-fastcdc-256k,push,4,remote_kb,248693
big-binary,cavs-fastcdc-256k,push,4,remote_growth_kb,14542
big-binary,cavs-fastcdc-256k,update,4,time_s,3.08
big-binary,cavs-fastcdc-256k,update,4,dl_total_kb,123653
big-binary,cavs-fastcdc-256k,push,5,time_s,2.17
big-binary,cavs-fastcdc-256k,push,5,remote_kb,262156
big-binary,cavs-fastcdc-256k,push,5,remote_growth_kb,13463
big-binary,cavs-fastcdc-256k,update,5,time_s,2.92
big-binary,cavs-fastcdc-256k,update,5,dl_total_kb,130228
big-binary,cavs-fastcdc-256k,clone_cold,5,time_s,2.77
big-binary,cavs-fastcdc-256k,clone_cold,5,dl_total_kb,106496
big-binary,cavs-fastcdc-256k,verify,5,sha256_ok,1
big-binary,cavs-fastcdc-256k,clone_warm,5,time_s,2.66
big-binary,cavs-fastcdc-256k,clone_warm,5,dl_new_kb,0
big-binary,cavs-fastcdc-256k,storage,5,store_kb,130741
big-binary,cavs-fastcdc-256k,storage,5,export_kb,131387
big-binary,cavs-fastcdc-256k,breakdown,5,store_pack_data_kb,130228
big-binary,cavs-fastcdc-256k,breakdown,5,store_pack_index_kb,20
big-binary,cavs-fastcdc-256k,breakdown,5,store_meta_kb,491
big-binary,cavs-fastcdc-256k,breakdown,5,export_pack_kb,130228
big-binary,cavs-fastcdc-256k,breakdown,5,export_index_kb,20
big-binary,cavs-fastcdc-256k,breakdown,5,export_manifest_kb,337
big-binary,cavs-fastcdc-256k,breakdown,5,export_chunkmap_kb,552
big-binary,cavs-fastcdc-256k,breakdown,5,export_record_kb,247
big-binary,cavs-fastcdc-256k,logical,5,latest_version_kb,106496
compressible,cavs-fastcdc-256k,push,1,time_s,3.11
compressible,cavs-fastcdc-256k,push,1,remote_kb,37171
compressible,cavs-fastcdc-256k,push,1,remote_growth_kb,37171
compressible,cavs-fastcdc-256k,update,1,time_s,3.88
compressible,cavs-fastcdc-256k,update,1,dl_total_kb,65536
compressible,cavs-fastcdc-256k,push,2,time_s,1.77
compressible,cavs-fastcdc-256k,push,2,remote_kb,60001
compressible,cavs-fastcdc-256k,push,2,remote_growth_kb,22830
compressible,cavs-fastcdc-256k,update,2,time_s,2.43
compressible,cavs-fastcdc-256k,update,2,dl_total_kb,105782
compressible,cavs-fastcdc-256k,push,3,time_s,2.14
compressible,cavs-fastcdc-256k,push,3,remote_kb,83580
compressible,cavs-fastcdc-256k,push,3,remote_growth_kb,23579
compressible,cavs-fastcdc-256k,update,3,time_s,2.34
compressible,cavs-fastcdc-256k,update,3,dl_total_kb,147299
compressible,cavs-fastcdc-256k,push,4,time_s,2.50
compressible,cavs-fastcdc-256k,push,4,remote_kb,105959
compressible,cavs-fastcdc-256k,push,4,remote_growth_kb,22379
compressible,cavs-fastcdc-256k,update,4,time_s,2.94
compressible,cavs-fastcdc-256k,update,4,dl_total_kb,186688
compressible,cavs-fastcdc-256k,clone_cold,4,time_s,2.52
compressible,cavs-fastcdc-256k,clone_cold,4,dl_total_kb,65536
compressible,cavs-fastcdc-256k,verify,4,sha256_ok,1
compressible,cavs-fastcdc-256k,clone_warm,4,time_s,2.91
compressible,cavs-fastcdc-256k,clone_warm,4,dl_new_kb,0
compressible,cavs-fastcdc-256k,storage,4,store_kb,52908
compressible,cavs-fastcdc-256k,storage,4,export_kb,53024
compressible,cavs-fastcdc-256k,breakdown,4,store_pack_data_kb,52714
compressible,cavs-fastcdc-256k,breakdown,4,store_pack_index_kb,14
compressible,cavs-fastcdc-256k,breakdown,4,store_meta_kb,179
compressible,cavs-fastcdc-256k,breakdown,4,export_pack_kb,52714
compressible,cavs-fastcdc-256k,breakdown,4,export_index_kb,14
compressible,cavs-fastcdc-256k,breakdown,4,export_manifest_kb,88
compressible,cavs-fastcdc-256k,breakdown,4,export_chunkmap_kb,139
compressible,cavs-fastcdc-256k,breakdown,4,export_record_kb,65
